2021-02-20 21:25:38 |INFO  |XNIO-1 task-4 |UeditorController.java:30 |com.river.site.controller.publics.UeditorController |ueditor插件相关的请求开始
2021-02-20 21:25:38 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-20 21:25:38 |INFO  |XNIO-1 task-3 |NotebookController.java:80 |com.river.site.controller.NotebookController |查询笔记详情开始
2021-02-20 21:25:38 |INFO  |XNIO-1 task-3 |NotebookController.java:97 |com.river.site.controller.NotebookController |查询笔记详情结束
2021-02-20 21:26:07 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-20 21:26:07 |INFO  |XNIO-1 task-3 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-20 21:26:12 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-20 21:26:12 |INFO  |XNIO-1 task-3 |NotebookController.java:43 |com.river.site.controller.NotebookController |查询笔记列表开始
2021-02-20 21:26:14 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-20 21:26:14 |INFO  |XNIO-1 task-3 |NotebookController.java:80 |com.river.site.controller.NotebookController |查询笔记详情开始
2021-02-20 21:26:14 |INFO  |XNIO-1 task-3 |NotebookController.java:97 |com.river.site.controller.NotebookController |查询笔记详情结束
2021-02-20 21:26:28 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-20 21:26:28 |INFO  |XNIO-1 task-3 |NotebookController.java:80 |com.river.site.controller.NotebookController |查询笔记详情开始
2021-02-20 21:26:28 |INFO  |XNIO-1 task-3 |NotebookController.java:97 |com.river.site.controller.NotebookController |查询笔记详情结束
2021-02-20 21:28:10 |INFO  |XNIO-1 task-4 |UeditorController.java:30 |com.river.site.controller.publics.UeditorController |ueditor插件相关的请求开始
2021-02-20 21:28:11 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-20 21:28:11 |INFO  |XNIO-1 task-3 |NotebookController.java:80 |com.river.site.controller.NotebookController |查询笔记详情开始
2021-02-20 21:28:11 |INFO  |XNIO-1 task-3 |NotebookController.java:97 |com.river.site.controller.NotebookController |查询笔记详情结束
2021-02-20 21:29:36 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-20 21:29:36 |INFO  |XNIO-1 task-3 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-20 21:29:41 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-20 21:29:41 |INFO  |XNIO-1 task-3 |NotebookController.java:80 |com.river.site.controller.NotebookController |查询笔记详情开始
2021-02-20 21:29:41 |INFO  |XNIO-1 task-3 |NotebookController.java:97 |com.river.site.controller.NotebookController |查询笔记详情结束
2021-02-20 21:29:41 |INFO  |XNIO-1 task-3 |UeditorController.java:30 |com.river.site.controller.publics.UeditorController |ueditor插件相关的请求开始
2021-02-20 21:29:46 |INFO  |XNIO-1 task-4 |UeditorController.java:30 |com.river.site.controller.publics.UeditorController |ueditor插件相关的请求开始
2021-02-20 21:29:46 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-20 21:29:46 |INFO  |XNIO-1 task-3 |NotebookController.java:80 |com.river.site.controller.NotebookController |查询笔记详情开始
2021-02-20 21:29:46 |INFO  |XNIO-1 task-3 |NotebookController.java:97 |com.river.site.controller.NotebookController |查询笔记详情结束
2021-02-20 21:36:00 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-20 21:36:00 |INFO  |XNIO-1 task-3 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
2021-02-20 21:55:13 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-02-20 21:55:13 |INFO  |XNIO-1 task-3 |NotebookController.java:127 |com.river.site.controller.NotebookController |新增/修改笔记开始
