2021-02-27 09:00:19 |INFO  |main |JobStoreCMT.java:145 |org.springframework.scheduling.quartz.LocalDataSourceJobStore |JobStoreCMT initialized.
2021-02-27 09:00:19 |INFO  |main |QuartzScheduler.java:305 |org.quartz.core.QuartzScheduler |Scheduler meta-data: Quartz Scheduler (v2.2.3) 'schedulerFactoryBean' with instanceId 'DESKTOP-AFTLI5O1614387610426'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 20 threads.
  Using job-store 'org.springframework.scheduling.quartz.LocalDataSourceJobStore' - which supports persistence. and is clustered.

2021-02-27 09:00:19 |INFO  |main |StdSchedulerFactory.java:1327 |org.quartz.impl.StdSchedulerFactory |Quartz scheduler 'schedulerFactoryBean' initialized from an externally provided properties instance.
2021-02-27 09:00:19 |INFO  |main |StdSchedulerFactory.java:1331 |org.quartz.impl.StdSchedulerFactory |Quartz scheduler version: 2.2.3
2021-02-27 09:00:19 |INFO  |main |QuartzScheduler.java:2311 |org.quartz.core.QuartzScheduler |JobFactory set to: com.river.site.quartz.JobFactory@64df9a61
2021-02-27 09:01:00 |INFO  |main |EndpointLinksResolver.java:58 |org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver |Exposing 2 endpoint(s) beneath base path '/actuator'
2021-02-27 09:01:16 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/css/**'], []
2021-02-27 09:01:19 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/oauth/token'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4acf72b6, org.springframework.security.web.context.SecurityContextPersistenceFilter@12f3afb5, org.springframework.security.web.header.HeaderWriterFilter@610db97e, org.springframework.security.web.authentication.logout.LogoutFilter@3aaf4f07, org.springframework.security.oauth2.provider.client.ClientCredentialsTokenEndpointFilter@1a38ba58, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@323e8306, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2c22a348, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@74d7184a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7561db12, org.springframework.security.web.session.SessionManagementFilter@3fabf088, org.springframework.security.web.access.ExceptionTranslationFilter@3abd581e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3a7704c]
2021-02-27 09:01:20 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: org.springframework.security.oauth2.config.annotation.web.configuration.ResourceServerConfiguration$NotOAuthRequestMatcher@3c1e3314, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4b770e40, org.springframework.security.web.context.SecurityContextPersistenceFilter@47a64f7d, org.springframework.security.web.header.HeaderWriterFilter@3a45c42a, org.springframework.security.web.authentication.logout.LogoutFilter@33aa93c, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@106faf11, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@33d05366, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@27a0a5a2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@78e16155, org.springframework.security.web.session.SessionManagementFilter@36dce7ed, org.springframework.security.web.access.ExceptionTranslationFilter@5af5def9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@26f143ed]
