2021-03-03 09:25:04 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:25:04 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:25:04 |INFO  |XNIO-1 task-3 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:25:04 |INFO  |XNIO-1 task-4 |SysUserController.java:102 |com.river.system.controller.SysUserController |查询用户列表开始
2021-03-03 09:25:07 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:25:07 |INFO  |XNIO-1 task-3 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:25:07 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:25:07 |INFO  |XNIO-1 task-4 |QuartzJobDetailController.java:41 |com.river.site.controller.QuartzJobDetailController |查询job树开始
2021-03-03 09:35:22 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:35:22 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:35:22 |INFO  |XNIO-1 task-4 |SysUserController.java:102 |com.river.system.controller.SysUserController |查询用户列表开始
2021-03-03 09:35:22 |INFO  |XNIO-1 task-3 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:37:39 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:39 |INFO  |XNIO-1 task-3 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:37:39 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:39 |INFO  |XNIO-1 task-4 |SiteConnentMainController.java:65 |com.river.site.controller.SiteConnentMainController |查询站点内容列表开始
2021-03-03 09:37:39 |INFO  |XNIO-1 task-4 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-03-03 09:37:43 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:43 |INFO  |XNIO-1 task-4 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:37:43 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:43 |INFO  |XNIO-1 task-3 |NotebookCategoryController.java:46 |com.river.site.controller.NotebookCategoryController |查询笔记分类列表开始
2021-03-03 09:37:47 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:47 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:47 |INFO  |XNIO-1 task-4 |NotebookController.java:43 |com.river.site.controller.NotebookController |查询笔记列表开始
2021-03-03 09:37:47 |INFO  |XNIO-1 task-3 |NotebookCategoryController.java:46 |com.river.site.controller.NotebookCategoryController |查询笔记分类列表开始
2021-03-03 09:37:50 |INFO  |XNIO-1 task-4 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:50 |INFO  |XNIO-1 task-4 |NotebookCategoryController.java:46 |com.river.site.controller.NotebookCategoryController |查询笔记分类列表开始
2021-03-03 09:37:50 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:50 |INFO  |XNIO-1 task-3 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:37:55 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:55 |INFO  |XNIO-1 task-3 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:37:55 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:55 |INFO  |XNIO-1 task-2 |SiteConnentMainController.java:65 |com.river.site.controller.SiteConnentMainController |查询站点内容列表开始
2021-03-03 09:37:55 |INFO  |XNIO-1 task-2 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-03-03 09:37:56 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:56 |INFO  |XNIO-1 task-2 |NotebookCategoryController.java:46 |com.river.site.controller.NotebookCategoryController |查询笔记分类列表开始
2021-03-03 09:37:56 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:56 |INFO  |XNIO-1 task-3 |NotebookController.java:43 |com.river.site.controller.NotebookController |查询笔记列表开始
2021-03-03 09:37:58 |INFO  |XNIO-1 task-3 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:58 |INFO  |XNIO-1 task-3 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:37:58 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:37:58 |INFO  |XNIO-1 task-2 |NotebookCategoryController.java:46 |com.river.site.controller.NotebookCategoryController |查询笔记分类列表开始
2021-03-03 09:38:04 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:38:04 |INFO  |XNIO-1 task-2 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:38:04 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:38:04 |INFO  |XNIO-1 task-1 |SiteConnentMainController.java:65 |com.river.site.controller.SiteConnentMainController |查询站点内容列表开始
2021-03-03 09:38:04 |INFO  |XNIO-1 task-1 |PublicController.java:51 |com.river.system.controller.PublicController |加载个人主页菜单开始
2021-03-03 09:38:30 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:38:30 |INFO  |XNIO-1 task-1 |NotebookCategoryController.java:46 |com.river.site.controller.NotebookCategoryController |查询笔记分类列表开始
2021-03-03 09:38:30 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:38:30 |INFO  |XNIO-1 task-2 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:38:32 |INFO  |XNIO-1 task-2 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:38:32 |INFO  |XNIO-1 task-2 |NotebookCategoryController.java:46 |com.river.site.controller.NotebookCategoryController |查询笔记分类列表开始
2021-03-03 09:38:32 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:38:32 |INFO  |XNIO-1 task-1 |NotebookController.java:43 |com.river.site.controller.NotebookController |查询笔记列表开始
2021-03-03 09:38:38 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
2021-03-03 09:38:38 |INFO  |XNIO-1 task-1 |SysItemController.java:65 |com.river.system.controller.SysItemController |查询字典开始
2021-03-03 09:38:38 |INFO  |XNIO-1 task-1 |RiverAuthenticationSuccessEventHandler.java:28 |com.river.security.handler.RiverAuthenticationSuccessEventHandler |用户：river 登录成功
